transmission,ht,startlat,startlon,endlat,endlon
69,40,47.860236,-97.069306,47.8602452633461,-97.0677533982351
230,30,47.860032,-97.070391,47.863136,-97.073877
345,50,47.9056873543593,-97.1145046004105,47.9059701437393,-97.1191226016499
500,100,48.7877895673537,-95.4181997227356,48.7790895293356,-95.409000673257
250,58.5,46.6232220823625,-96.8659172688452,46.6232222741547,-96.8422693384082
