,Flight,Trip,time,date,Time(cst),latitude,longitude,height_above_takeoff_ft,height_sonar,satellites,gpslevel,voltage, xSpeed, ySpeed, zSpeed, pitch, roll,rc_elevator,rc_aileron,rc_throttle,rc_rudder,battery_percent,current,battery_temperature,flycStateRaw,Payload,Temperature,dew_Point,Humidity,Wind angle,wind_speed,wind_gust,Line_Voltage_rating,AC,H_Field_mG,E_Field_V/m,lat_shift,lon_shift,alt_shift,dist_consecutive
3701,5,2,1500,2023-01-18 18:10:25,2023-01-18 12:10:25,48.7870746638942,-95.4195600345783,0.0,0.0,23,5,25.325,0.0,0.0,0.0,5.9,1.1,0,0,0,0,96,6.977,66.38,41,1,18.0,12.0,79.0,67.5,10,0,500,1,0.3,50.7,48.7870748052033,-95.4195601377156,0.0,0.00030438032860486357
3702,5,2,2500,2023-01-18 18:10:26,2023-01-18 12:10:26,48.7870745312453,-95.4195599120927,0.0,0.0,23,5,25.42,0.0,0.0,0.0,5.8,1.1,-2,0,0,0,96,5.386,66.38,10,1,18.0,12.0,79.0,67.5,10,0,500,1,0.2,48.2,48.7870746638942,-95.4195600345783,0.0,0.0002986123145471522
3703,5,2,3600,2023-01-18 18:10:27,2023-01-18 12:10:27,48.7870746056105,-95.4195598472006,0.0,0.0,23,5,25.411,0.0,0.0,0.0,5.8,1.1,-3,0,0,-2,96,2.87,66.38,10,1,18.0,12.0,79.0,67.5,10,0,500,1,0.2,50.6,48.7870745312453,-95.4195599120927,0.0,9.112842594215902e-05
3704,5,2,4500,2023-01-18 18:10:28,2023-01-18 12:10:28,48.7870744175117,-95.4195599332267,0.0,0.0,23,5,25.346,0.0,0.0,-0.671082,-2.5,-0.2,-2,0,99,-4,96,5.613,66.38,6,1,18.0,12.0,79.0,67.5,10,0,500,1,0.2,52.4,48.7870746056105,-95.4195598472006,0.0,0.00047750876390329
3705,5,2,5500,2023-01-18 18:10:29,2023-01-18 12:10:29,48.7870738056159,-95.4195599687988,5.577428,5.577428,23,5,24.552,0.0,0.0,-7.381902,-0.9,0.2,-3,0,93,0,96,29.574,66.38,6,1,18.0,12.0,79.0,67.5,10,0,500,1,0.3,52.2,48.7870744175117,-95.4195599332267,0.0,31.112340219502382
3706,5,2,6500,2023-01-18 18:10:30,2023-01-18 12:10:30,48.7870732654902,-95.4195598496359,17.388452,17.060368,23,5,24.883,0.0,0.0,-5.368656,-1.4,-0.5,6,0,45,0,96,19.293,66.38,6,1,18.0,12.0,79.0,67.5,10,0,500,1,0.3,52.1,48.7870738056159,-95.4195599687988,5.577428,139.50397240961505
3707,5,2,7500,2023-01-18 18:10:31,2023-01-18 12:10:31,48.7870735219348,-95.4195598985167,22.309712,21.981628,23,5,24.989,0.0,0.0,-2.013246,-1.1,-1.1,25,5,31,0,96,15.995,66.38,6,1,18.0,12.0,79.0,67.5,10,0,500,1,0.3,52.5,48.7870732654902,-95.4195598496359,17.388452,24.219626170297012
3708,5,2,8500,2023-01-18 18:10:32,2023-01-18 12:10:32,48.7870750725839,-95.41955625454,25.918636,25.262468,23,5,24.723,0.671082,1.342164,-2.460634,-7.4,1.4,31,13,33,0,96,23.734,66.38,6,1,18.0,12.0,79.0,67.5,10,0,500,1,0.4,53.4,48.7870735219348,-95.4195598985167,22.309712,13.125769625811055
3709,5,2,9600,2023-01-18 18:10:33,2023-01-18 12:10:33,48.7870808171333,-95.4195384942106,29.855644,29.199476,23,5,24.795,1.342164,3.579104,-2.460634,-8.1,2.5,36,20,34,0,96,23.743,66.38,6,1,18.0,12.0,79.0,67.5,10,0,500,1,0.4,53.4,48.7870750725839,-95.41955625454,25.918636,17.611379244098835
3710,5,2,10500,2023-01-18 18:10:34,2023-01-18 12:10:34,48.7870872694015,-95.4195122684466,33.464568,31.824148,23,5,24.769,1.789552,5.368656,-2.460634,-8.8,0.8,32,19,37,0,96,22.752,66.38,6,1,18.0,12.0,79.0,67.5,10,0,500,1,0.2,54.2,48.7870808171333,-95.4195384942106,29.855644,17.25309618157482
