,Flight,Trip,time,date,Time(cst),latitude,longitude,height_above_takeoff_ft,height_sonar,satellites,gpslevel,voltage, xSpeed, ySpeed, zSpeed, pitch, roll,rc_elevator,rc_aileron,rc_throttle,rc_rudder,battery_percent,current,battery_temperature,flycStateRaw,Payload,Temperature,dew_Point,Humidity,Wind angle,wind_speed,wind_gust,Line_Voltage_rating,AC,H_Field_mG,E_Field_V/m,lat_shift,lon_shift,alt_shift,dist_consecutive
2651,4,1,1500,2022-08-11 16:20:58,2022-08-11 11:20:58,47.9057941480979,-97.1145338901349,0.0,0.0,21,5,24.621,0.0,0.0,0.0,1.7,0.3,0,0,-1,0,87,8.487,92.3,41,1,77.42000000000002,55.0,45.58500000000001,135.0,9 mph,21 mph,345,1,16.8,616.5,47.9057939461091,-97.1145339078202,0.0,0.0005061471724103437
2652,4,1,2500,2022-08-11 16:20:59,2022-08-11 11:20:59,47.9057941023159,-97.1145338603039,0.0,0.0,22,5,24.663,0.0,0.0,0.0,1.6,0.3,0,0,0,0,87,5.492,92.3,10,1,77.42000000000002,55.0,45.58500000000001,135.0,9 mph,21 mph,345,1,16.7,616.5,47.9057941480979,-97.1145338901349,0.0,3.088628212484579e-05
2653,4,1,3400,2022-08-11 16:21:00,2022-08-11 11:21:00,47.905794077436,-97.114533875767,0.0,0.0,22,5,24.682,0.0,0.0,0.0,1.6,0.3,0,0,0,0,87,2.745,92.3,10,1,77.42000000000002,55.0,45.58500000000001,135.0,9 mph,21 mph,345,1,17.2,618.5,47.9057941023159,-97.1145338603039,0.0,8.989163948646292e-06
2654,4,1,4400,2022-08-11 16:21:01,2022-08-11 11:21:01,47.9057941984535,-97.1145340248216,0.0,0.0,22,5,24.678,0.0,0.0,0.0,1.4,0.3,0,0,44,0,87,3.861,92.3,10,1,77.42000000000002,55.0,45.58500000000001,135.0,9 mph,21 mph,345,1,17.3,614.5,47.905794077436,-97.114533875767,0.0,0.0003052346034887721
2655,4,1,5500,2022-08-11 16:21:02,2022-08-11 11:21:02,47.9057946179977,-97.1145354393612,1.64042,1.64042,22,5,24.424,0.0,0.0,-2.908022,3.0,-1.0,0,0,43,0,87,23.911,92.3,6,1,77.42000000000002,55.0,45.58500000000001,135.0,9 mph,21 mph,345,1,17.2,624.5,47.9057941984535,-97.1145340248216,0.0,2.7043374606729755
2656,4,1,6500,2022-08-11 16:21:03,2022-08-11 11:21:03,47.9057943525073,-97.1145354394574,6.56168,6.889764,22,5,24.305,0.0,0.0,-3.35541,1.0,-2.1,17,0,40,0,87,27.956,92.3,6,1,77.42000000000002,55.0,45.58500000000001,135.0,9 mph,21 mph,345,1,19.1,621.5,47.9057946179977,-97.1145354393612,1.64042,24.21967138712652
2657,4,1,7500,2022-08-11 16:21:04,2022-08-11 11:21:04,47.9057942659001,-97.1145383045177,11.154856,11.154856,22,5,24.343,0.0,-1.11847,-2.013246,-5.7,-3.2,43,0,30,0,87,22.85,92.3,6,1,77.42000000000002,55.0,45.58500000000001,135.0,9 mph,21 mph,345,1,17.7,623.5,47.9057943525073,-97.1145354394574,6.56168,21.1432380377684
2658,4,1,8500,2022-08-11 16:21:05,2022-08-11 11:21:05,47.9057929386479,-97.1145573970009,14.107612,14.435696,23,5,24.313,-0.447388,-4.026492,-1.342164,-4.5,-2.6,36,0,14,0,87,25.77,92.3,6,1,77.42000000000002,55.0,45.58500000000001,135.0,9 mph,21 mph,345,1,17.7,620.5,47.9057942659001,-97.1145383045177,11.154856,10.777946704436815
2659,4,1,9400,2022-08-11 16:21:06,2022-08-11 11:21:06,47.9057900062155,-97.1145855913184,15.748032,16.076116,23,5,24.35,-0.671082,-5.816044,-2.684328,-3.3,-2.2,29,0,35,0,86,24.27,92.3,6,1,77.42000000000002,55.0,45.58500000000001,135.0,9 mph,21 mph,345,1,17.6,557.5,47.9057929386479,-97.1145573970009,14.107612,7.240272011783396
2660,4,1,10400,2022-08-11 16:21:07,2022-08-11 11:21:07,47.9057856704143,-97.114623752786,19.356956,19.356956,23,5,24.308,-0.894776,-6.487126,-1.342164,-0.1,-1.8,17,0,22,0,86,21.276,92.3,6,1,77.42000000000002,55.0,45.58500000000001,135.0,9 mph,21 mph,345,1,19.2,767.5,47.9057900062155,-97.1145855913184,15.748032,21.396319922046633
