,Flight,Trip,time,date,Time(cst),latitude,longitude,height_above_takeoff_ft,height_sonar,satellites,gpslevel,voltage, xSpeed, ySpeed, zSpeed, pitch, roll,rc_elevator,rc_aileron,rc_throttle,rc_rudder,battery_percent,current,battery_temperature,flycStateRaw,Payload,Temperature,dew_Point,Humidity,Wind angle,wind_speed,wind_gust,Line_Voltage_rating,AC,H_Field_mG,E_Field_V/m,lat_shift,lon_shift,alt_shift,dist_consecutive
1522,2,1,1,2022-08-11 15:03:06,2022-08-11 10:03:06,47.8602610524884,-97.0695566876996,0.0,0.0,22,5,24.868,0.0,0.0,0.0,1.1,0.8,0,0,0,0,89,6.095,98.96,41,1,74.5,54.166,49.34,135.0,9 mph,0 mph,69,1,1.7,66.8,47.8602611254261,-97.0695566158235,0.0,9.46938972504515e-05
1523,2,1,2,2022-08-11 15:03:07,2022-08-11 10:03:07,47.8602609321635,-97.0695567862077,0.0,0.0,23,5,24.904,0.0,0.0,0.0,1.1,0.8,0,0,16,0,89,2.235,98.96,10,1,74.5,54.166,49.34,135.0,9 mph,0 mph,69,1,1.7,66.6,47.8602610524884,-97.0695566876996,0.0,0.0002333200509481221
1524,2,1,3,2022-08-11 15:03:08,2022-08-11 10:03:08,47.8602610339892,-97.0695569236938,0.0,0.0,23,5,24.904,0.0,0.0,-0.447388,-1.1,-1.2,0,0,24,0,89,2.235,98.96,6,1,74.5,54.166,49.34,135.0,9 mph,0 mph,69,1,1.7,66.8,47.8602609321635,-97.0695567862077,0.0,0.00023401737023286668
1525,2,1,4,2022-08-11 15:03:09,2022-08-11 10:03:09,47.8602615304692,-97.0695573398495,2.624672,2.624672,23,5,24.776,0.0,0.0,-3.35541,-1.7,0.7,41,0,40,-18,89,14.814,98.96,6,1,74.5,54.166,49.34,135.0,9 mph,0 mph,69,1,1.7,67.1,47.8602610339892,-97.0695569236938,0.0,6.892920085952462
1526,2,1,5,2022-08-11 15:03:10,2022-08-11 10:03:10,47.8602662209096,-97.0695427670108,7.874016,7.545932,24,5,24.703,2.23694,4.921268,-2.684328,-22.1,0.7,89,0,33,-4,89,21.795,98.96,6,1,74.5,54.166,49.34,135.0,9 mph,0 mph,69,1,1.7,67.3,47.8602615304692,-97.0695573398495,2.624672,29.016646629698265
1527,2,1,6,2022-08-11 15:03:11,2022-08-11 10:03:11,47.8602834417025,-97.0694884204399,11.811024,11.48294,24,5,24.606,4.47388,11.408394,-2.460634,-19.1,9.1,75,0,40,34,89,24.942,98.96,6,1,74.5,54.166,49.34,135.0,9 mph,0 mph,69,1,1.6,67.0,47.8602662209096,-97.0695427670108,7.874016,35.70325739999717
1528,2,1,7,2022-08-11 15:03:12,2022-08-11 10:03:12,47.8602956037724,-97.0694086717761,17.060368,17.716536,24,5,24.594,2.013246,14.092722,-4.47388,-14.1,-3.3,56,-30,55,10,89,23.982,98.96,6,1,74.5,54.166,49.34,135.0,9 mph,0 mph,69,1,1.6,66.7,47.8602834417025,-97.0694884204399,11.811024,64.99319051320748
1529,2,1,8,2022-08-11 15:03:13,2022-08-11 10:03:13,47.8603066977475,-97.0693198398251,23.950132,27.230972,24,5,24.598,1.789552,15.211192,-4.697574,-8.2,2.5,37,-16,53,18,89,22.538,98.96,6,1,74.5,54.166,49.34,135.0,9 mph,0 mph,69,1,1.7,67.3,47.8602956037724,-97.0694086717761,17.060368,93.1729150966608
1530,2,1,9,2022-08-11 15:03:14,2022-08-11 10:03:14,47.8603133444263,-97.0692367678941,30.839896,36.745408,24,5,24.652,0.894776,11.408394,-3.131716,22.4,9.0,-6,0,33,0,89,17.587,98.96,6,1,74.5,54.166,49.34,135.0,9 mph,0 mph,69,1,1.8,66.8,47.8603066977475,-97.0693198398251,23.950132,86.65353105928574
1531,2,1,10,2022-08-11 15:03:15,2022-08-11 10:03:15,47.8603138834423,-97.0692015028801,34.44882,38.057744,23,5,24.662,-0.894776,3.579104,-1.565858,0.2,9.3,0,-8,26,62,89,15.137,98.96,6,1,74.5,54.166,49.34,135.0,9 mph,0 mph,69,1,1.7,66.7,47.8603133444263,-97.0692367678941,30.839896,19.990981030276064
